名稱,代號,2024配息率,2023配息率,2022配息率,2021配息率,平均配息率,23Q1營收,23Q1EPS,23Q2營收,23Q2EPS,23Q3營收,23Q3EPS,23Q4營收,23Q4EPS,2023EPS,股價,24Q1營收,24Q1EPS,24Q2營收,24Q2EPS,24Q3營收,24Q3EPS,10月營收,11月營收,12月營收
正道,"=""1506""",0.0,0.0,0.0,0.0,0.0,2.78,0.09,2.87,0.08,2.88,0.11,2.87,0.02,0.29,12.2,2.49,0.04,2.62,0.02,2.54,0.04,0.84,0.95,0.92
瑞利,"=""1512""",0.0,0.0,0.0,0.0,0.0,3.31,0.0,2.85,0.01,2.59,0.02,2.68,0.0,0.04,7.23,2.86,-0.18,2.65,-0.01,2.56,-0.16,0.85,0.82,0.87
中興電,"=""1513""",111.0,63.6,66.8,61.3,75.675,58.4,1.56,49.3,-1.42,55.3,1.51,58.5,1.62,3.25,152.0,61.4,1.93,61.3,1.82,63.9,1.86,23.24,22.74,23.53
亞力,"=""1514""",51.3,46.5,46.9,46.4,47.775,18.6,0.6,22.7,0.68,19.8,0.66,33.7,1.18,3.08,96.1,20.9,0.89,22.2,0.77,19.5,0.57,7.16,7.88,11.04
力山,"=""1515""",70.6,0.0,51.7,80.0,50.575,5.89,-0.42,10.2,0.05,23.4,1.16,27.6,0.91,1.7,29.6,21.9,1.34,14.6,0.53,14.5,0.05,3.78,3.37,2.81
川飛,"=""1516""",0.0,27.7,90.2,45.2,40.775000000000006,3.83,0.29,0.4,-0.03,2.1,0.22,2.2,-0.12,0.34,16.7,2.91,0.46,2.52,0.27,0.51,-0.38,0.0,0.0,0.13
利奇,"=""1517""",-26.7,35.3,40.0,46.1,23.675,6.1,0.01,4.29,-0.18,4.39,-0.15,4.14,-0.43,-0.75,12.95,3.74,-0.02,5.11,-0.1,5.74,-0.15,1.5,2.08,2.13
華城,"=""1519""",60.8,77.9,90.1,74.3,75.77499999999999,15.4,0.79,31,2.08,36.4,2.73,56.1,4.27,9.87,522.0,30.4,2.29,46.5,3.11,53.6,4.28,19.69,16.86,35.08
大億,"=""1521""",125.0,59.8,55.6,61.9,75.575,12.0,0.25,11.0,0.23,12.9,0.77,12.4,-0.7,0.56,26.6,10.6,0.42,10.0,0.46,8.03,-0.01,2.82,2.84,2.63
堤維西,"=""1522""",60.4,61.9,80.6,71.4,68.57499999999999,47.1,0.65,48,0.68,49.6,1.18,48,0.8,3.31,63.3,51.2,2.01,51.9,1.65,47.9,1.3,16.75,17.27,16.4
